"Date","RegionID","RegionName","State","Metro","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-03-31,1422,"Taylor","KY","Campbellsville",1004,105100,0.00960614793467819,0.0243664717348928,0.00574162679425837,0.0281022850100499,0.00846901456998772,"2015-05","2015-Q2",105400,-0.00284629981024668,"2015-05"
2017-03-31,3283,"Fredericksburg City","VA","Washington",1005,313500,0.0112903225806452,0.0488457678153228,0.0677792915531335,,,"2017-03","2017-Q1",313500,0,"2017-03"
2017-03-31,1700,"Fayette","IN","Connersville",1006,61700,-0.00963081861958266,-0.00161812297734628,-0.0359375,0.0232564595371181,-0.0190692326032139,"2005-02","2005-Q1",93500,-0.340106951871658,"1997-06"
2017-03-31,729,"Stark","ND","Dickinson",1007,201000,-0.00099403578528827,0.00802407221664995,0.0223804679552391,-0.0243790458490036,,"2011-11","2011-Q4",228400,-0.119964973730298,
2017-03-31,708,"Scott","IN","Louisville/Jefferson County",1008,89500,0.00674915635545557,0.0346820809248555,0.124371859296482,0.0300093023927324,0.00600362598238569,"2005-03","2005-Q1",104300,-0.14189837008629,"2004-08"
2017-03-31,1307,"Panola","TX",,1009,130200,-0.00762195121951219,0.00618238021638331,0.0116550116550117,-0.00838692888948289,,"2010-08","2010-Q3",140300,-0.0719885958660014,
2017-03-31,3271,"West Baton Rouge","LA","Baton Rouge",1010,190600,-0.0010482180293501,0.0159914712153518,0.0991926182237601,0.0242261451043089,,"2017-02","2017-Q1",190800,-0.0010482180293501,"2017-02"
2017-03-31,3230,"Staunton City","VA","Staunton",1011,143600,0.00349406009783368,0.0249821556031406,0.0805116629044394,0.00769540767154497,-0.00862886845230981,"2009-02","2009-Q1",169500,-0.152802359882006,"2005-08"
2017-03-31,1785,"Houston","TX",,1012,91800,-0.0213219616204691,-0.0107758620689655,0.122249388753056,,,"2013-07","2013-Q3",97000,-0.0536082474226804,
2017-03-31,421,"Butts","GA","Atlanta",1013,86900,-0.0113765642775882,-0.0408388520971302,0.0104651162790698,0.00898277118000546,-0.01742433919953,"2007-06","2007-Q2",109400,-0.205667276051188,"2002-05"
2017-03-31,3097,"King George","VA",,1014,255700,0.00313848568065908,0.00471512770137525,0.0269076305220884,0.0247294903763136,-0.0149275064983911,"2006-04","2006-Q2",305100,-0.161914126515896,"2004-12"
2017-03-31,2677,"Currituck","NC","Virginia Beach",1015,250700,0.00440705128205128,0.0084473049074819,0.027880278802788,0.0177391709358632,-0.0178578165095158,"2007-03","2007-Q1",300200,-0.164890073284477,"2005-03"
